timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-15 03:11:29,4035.65,4035.70,0.050,5.0,1
2026-07-15 03:11:34,4035.40,4035.52,0.120,12.0,1
2026-07-15 03:11:39,4035.87,4035.96,0.090,9.0,1
2026-07-15 03:11:44,4035.66,4035.73,0.070,7.0,1
2026-07-15 03:11:49,4035.81,4035.86,0.050,5.0,1
2026-07-15 03:11:54,4035.37,4035.49,0.120,12.0,1
2026-07-15 03:11:59,4034.93,4035.04,0.110,11.0,1
2026-07-15 03:12:04,4035.47,4035.59,0.120,12.0,1
2026-07-15 03:12:09,4035.52,4035.64,0.120,12.0,1
2026-07-15 03:12:14,4035.82,4035.93,0.110,11.0,1
2026-07-15 03:12:19,4035.88,4035.93,0.050,5.0,1
2026-07-15 03:12:24,4036.28,4036.33,0.050,5.0,1
2026-07-15 03:12:29,4036.29,4036.34,0.050,5.0,1
2026-07-15 03:12:34,4036.24,4036.30,0.060,6.0,1
2026-07-15 03:12:39,4036.44,4036.50,0.060,6.0,1
2026-07-15 03:12:44,4036.11,4036.16,0.050,5.0,1
2026-07-15 03:12:49,4036.30,4036.37,0.070,7.0,1
2026-07-15 03:12:54,4036.36,4036.41,0.050,5.0,1
2026-07-15 03:12:59,4036.16,4036.27,0.110,11.0,1
2026-07-15 03:13:04,4036.01,4036.09,0.080,8.0,1
2026-07-15 03:13:09,4035.54,4035.59,0.050,5.0,1
2026-07-15 03:13:14,4035.37,4035.47,0.100,10.0,1
2026-07-15 03:13:19,4035.15,4035.22,0.070,7.0,1
2026-07-15 03:13:24,4035.44,4035.54,0.100,10.0,1
2026-07-15 03:13:29,4035.51,4035.56,0.050,5.0,1
2026-07-15 03:13:34,4035.67,4035.75,0.080,8.0,1
2026-07-15 03:13:39,4035.73,4035.78,0.050,5.0,1
2026-07-15 03:13:44,4035.85,4035.93,0.080,8.0,1
2026-07-15 03:13:49,4035.68,4035.78,0.100,10.0,1
2026-07-15 03:13:54,4035.62,4035.74,0.120,12.0,1
2026-07-15 03:13:59,4035.21,4035.33,0.120,12.0,1
2026-07-15 03:14:04,4034.62,4034.74,0.120,12.0,1
2026-07-15 03:14:09,4034.75,4034.87,0.120,12.0,1
2026-07-15 03:14:14,4034.89,4035.01,0.120,12.0,1
2026-07-15 03:14:19,4034.41,4034.53,0.120,12.0,1
2026-07-15 03:14:24,4034.20,4034.32,0.120,12.0,1
2026-07-15 03:14:29,4034.28,4034.35,0.070,7.0,1
2026-07-15 03:14:34,4034.51,4034.58,0.070,7.0,1
2026-07-15 03:14:39,4033.99,4034.08,0.090,9.0,1
2026-07-15 03:14:44,4033.11,4033.23,0.120,12.0,1
2026-07-15 03:14:49,4033.75,4033.87,0.120,12.0,1
2026-07-15 03:14:54,4033.90,4034.02,0.120,12.0,1
2026-07-15 03:14:59,4034.07,4034.17,0.100,10.0,1
2026-07-15 03:15:04,4034.10,4034.19,0.090,9.0,1
2026-07-15 03:15:09,4034.00,4034.06,0.060,6.0,1
2026-07-15 03:15:14,4034.05,4034.11,0.060,6.0,1
2026-07-15 03:15:19,4034.08,4034.18,0.100,10.0,1
2026-07-15 03:15:24,4034.30,4034.36,0.060,6.0,1
2026-07-15 03:15:29,4034.16,4034.22,0.060,6.0,1
2026-07-15 03:15:34,4034.38,4034.45,0.070,7.0,1
2026-07-15 03:15:39,4034.04,4034.15,0.110,11.0,1
2026-07-15 03:15:44,4033.76,4033.85,0.090,9.0,1
2026-07-15 03:15:49,4033.99,4034.11,0.120,12.0,1
2026-07-15 03:15:54,4034.73,4034.84,0.110,11.0,1
2026-07-15 03:15:59,4034.47,4034.58,0.110,11.0,1
2026-07-15 03:16:04,4034.69,4034.78,0.090,9.0,1
2026-07-15 03:16:09,4034.74,4034.80,0.060,6.0,1
2026-07-15 03:16:14,4034.81,4034.92,0.110,11.0,1
2026-07-15 03:16:19,4034.75,4034.85,0.100,10.0,1
2026-07-15 03:16:24,4034.37,4034.46,0.090,9.0,1
