timestamp_utc,close,tick_volume
1376933280,1366.06,142
1376933340,1366.27,252
1376933400,1366.55,250
1376933460,1366.58,174
1376933520,1366.17,126
1376933580,1366.27,38
1376933640,1366.46,98
1376933700,1366.92,104
1376933760,1366.63,68
1376933820,1366.46,42
1376933880,1366.71,74
1376933940,1366.67,74
1376934000,1366.03,68
1376934060,1365.90,140
1376934120,1365.78,138
1376934180,1365.95,198
1376934240,1366.01,22
1376934300,1365.78,56
1376934360,1365.44,138
1376934420,1365.54,138
1376934480,1365.46,156
1376934540,1365.23,98
1376934600,1365.48,66
1376934660,1365.37,40
1376934720,1365.47,74
1376934780,1365.39,152
1376934840,1365.48,86
1376934900,1365.48,60
1376934960,1365.50,96
1376935020,1365.38,78
1376935080,1365.58,82
1376935140,1365.56,106
1376935200,1365.71,136
1376935260,1365.77,72
1376935320,1365.71,44
1376935380,1365.71,42
1376935440,1365.72,30
1376935500,1365.48,152
1376935560,1365.32,120
1376935620,1365.41,56
1376935680,1365.51,20
1376935740,1365.49,90
1376935800,1365.78,72
1376935860,1365.52,76
1376935920,1365.29,74
1376935980,1365.42,244
1376936040,1365.07,132
1376936100,1365.18,112
1376936160,1365.31,128
1376936220,1365.28,84
1376936280,1365.07,56
1376936340,1365.25,44
1376936400,1365.08,134
1376936460,1364.98,94
1376936520,1364.93,68
1376936580,1364.97,68
1376936640,1365.04,76
1376936700,1365.04,52
1376936760,1365.08,112
1376936820,1365.13,84
1376936880,1365.63,156
1376936940,1365.78,128
1376937000,1365.68,34
1376937060,1365.82,58
1376937120,1365.85,92
1376937180,1365.87,34
1376937240,1365.87,28
1376937300,1365.87,20
1376937360,1365.86,12
1376937420,1365.77,20
1376937480,1365.66,48
1376937540,1365.92,28
1376937600,1365.93,62
1376937660,1366.17,76
1376937720,1366.07,46
1376937780,1366.18,42
1376937840,1365.87,54
1376937900,1366.17,36
1376937960,1366.56,62
1376938020,1367.14,124
1376938080,1366.77,90
1376938140,1366.68,100
1376938200,1366.69,30
1376938260,1366.79,52
1376938320,1366.77,62
1376938380,1366.67,74
1376938440,1366.65,66
1376938500,1366.65,48
1376938560,1366.76,16
1376938620,1366.67,44
1376938680,1366.55,54
1376938740,1366.50,46
1376938800,1366.45,70
1376938860,1366.35,176
1376938920,1366.34,18
1376938980,1366.52,34
1376939040,1366.66,66
1376939100,1366.67,48
1376939160,1366.67,40
1376939220,1366.41,40
1376939280,1366.29,74
1376939340,1366.05,28
1376939400,1365.81,32
1376939460,1365.97,66
1376939520,1365.97,50
1376939580,1365.97,82
1376939640,1366.27,124
1376939700,1366.26,64
1376939760,1366.47,58
1376939820,1366.53,10
1376939880,1366.67,64
1376939940,1366.97,102
1376940000,1366.91,148
1376940060,1366.87,76
1376940120,1366.73,104
1376940180,1366.55,50
1376940240,1366.73,38
1376940300,1366.75,36
1376940360,1366.84,58
1376940420,1367.03,52
1376940480,1366.97,34
1376940540,1366.61,48
1376940600,1366.97,52
1376940660,1366.97,26
1376940720,1366.94,18
1376940780,1367.15,42
1376940840,1366.95,52
1376940900,1367.16,60
1376940960,1366.89,66
1376941020,1366.96,46
1376941080,1367.17,36
1376941140,1367.16,76
1376941200,1367.38,92
1376941260,1367.53,32
1376941320,1367.67,82
1376941380,1368.06,66
1376941440,1367.95,108
1376941500,1367.94,138
1376941560,1367.89,90
1376941620,1367.91,112
1376941680,1367.89,114
1376941740,1367.48,244
1376941800,1367.09,196
1376941860,1366.92,92
1376941920,1366.98,20
1376941980,1366.93,72
1376942040,1366.60,98
1376942100,1366.50,10
1376942160,1366.60,122
1376942220,1366.50,224
1376942280,1366.28,104
1376942340,1366.59,150
1376942400,1366.86,60
1376942460,1366.70,134
1376942520,1366.74,66
1376942580,1366.66,18
1376942640,1366.73,44
1376942700,1366.94,36
1376942760,1366.85,70
1376942820,1367.01,26
1376942880,1366.99,28
1376942940,1366.83,32
1376943000,1366.62,26
1376943060,1366.64,8
1376943120,1366.65,4
1376943180,1366.47,22
1376943240,1366.39,18
1376943300,1366.25,58
1376943360,1366.26,4
1376943420,1366.18,16
1376943480,1366.14,16
1376943540,1366.08,14
1376943600,1366.08,4
1376943660,1366.08,10
1376943720,1366.07,4
1376943780,1366.08,10
1376943840,1365.96,30
1376943900,1366.11,52
1376943960,1366.06,14
1376944020,1365.78,16
1376944080,1365.83,22
1376944140,1365.83,12
1376944200,1365.94,38
1376944260,1365.94,14
1376944320,1365.96,14
1376944380,1366.05,58
1376944440,1365.77,24
1376944500,1365.97,16
1376944560,1365.96,12
1376944620,1365.97,6
1376944680,1366.06,16
1376944740,1366.06,6
1376944800,1365.94,24
1376944860,1365.87,28
1376944920,1365.83,14
1376944980,1365.82,4
1376945040,1365.86,14
1376945100,1365.86,4
1376945160,1365.85,8
1376945220,1365.86,6
1376945280,1365.69,4
1376945340,1365.87,8
1376945400,1365.88,6
1376945460,1365.88,20
1376945520,1365.89,24
1376945580,1365.88,14
1376945640,1365.96,10
1376945700,1365.91,2
1376945760,1365.80,2
1376945820,1365.74,26
1376945880,1365.84,50
1376945940,1365.70,12
1376946000,1365.63,8
1376946060,1365.68,12
1376946180,1365.63,6
1376946240,1365.65,4
1376946300,1365.67,4
1376946360,1365.71,6
1376946420,1365.62,8
1376946480,1365.49,8
1376946540,1365.49,4
1376946600,1365.42,10
1376946660,1365.45,6
1376946720,1365.33,26
1376946780,1365.14,20
1376946840,1365.16,18
1376946900,1365.05,4
1376949600,1365.29,128
1376949660,1365.61,110
1376949720,1365.61,78
1376949780,1365.70,98
1376949840,1365.71,24
1376949900,1365.63,40
1376949960,1365.69,30
1376950020,1365.68,14
1376950080,1365.68,6
1376950140,1365.67,14
1376950200,1365.67,4
1376950260,1365.67,6
1376950320,1365.66,10
1376950380,1365.68,14
1376950440,1365.61,28
1376950500,1365.61,10
1376950560,1365.31,16
1376950620,1365.34,6
1376950680,1365.35,10
1376950740,1365.31,18
1376950800,1365.25,32
1376950860,1365.21,2
1376950920,1365.29,34
1376950980,1365.25,32
1376951040,1365.29,160
1376951100,1365.33,2
1376951220,1365.33,28
1376951280,1365.33,8
1376951340,1365.35,18
1376951400,1365.25,10
1376951460,1365.27,14
1376951520,1365.45,64
1376951580,1365.63,34
1376951640,1365.39,26
1376951700,1365.43,8
1376951760,1365.42,8
1376951820,1365.55,14
1376951880,1365.56,6
1376951940,1365.56,6
1376952000,1365.55,14
1376952060,1365.55,6
1376952180,1365.50,2
1376952240,1365.59,6
1376952300,1365.45,26
1376952360,1365.48,16
1376952420,1365.48,4
1376952480,1365.53,16
1376952540,1365.58,18
1376952600,1365.60,12
1376952660,1365.74,72
1376952720,1365.70,30
1376952780,1365.69,6
1376952840,1365.68,14
1376952900,1365.68,2
1376952960,1365.58,20
1376953020,1365.67,12
1376953080,1365.58,22
1376953140,1365.61,20
1376953200,1365.68,10
1376953260,1365.66,18
1376953320,1365.64,26
1376953380,1365.67,58
1376953440,1365.54,42
1376953500,1365.49,26
1376953560,1365.49,6
1376953620,1365.47,24
1376953680,1365.47,10
1376953740,1365.48,4
1376953800,1365.50,6
1376953860,1365.47,18
1376953920,1365.50,8
1376954040,1365.50,4
1376954100,1365.57,8
1376954160,1365.49,8
1376954220,1365.49,16
1376954280,1365.47,20
1376954340,1365.57,8
1376954400,1365.47,34
1376954460,1365.53,8
1376954520,1365.47,12
1376954640,1365.45,14
1376954760,1365.55,28
1376954820,1365.54,2
1376954880,1365.55,6
1376954940,1365.66,8
1376955000,1365.36,40
1376955060,1365.30,34
1376955120,1365.34,8
1376955180,1365.36,20
1376955240,1365.22,4
1376955300,1365.53,28
1376955360,1365.28,22
1376955420,1365.28,20
1376955480,1365.26,4
1376955540,1365.32,22
1376955600,1365.32,24
1376955660,1365.32,12
1376955720,1365.46,30
1376955780,1365.55,32
1376955840,1365.45,24
1376955900,1365.86,30
1376955960,1366.24,78
1376956020,1366.04,14
1376956080,1366.05,16
1376956140,1366.12,48
1376956200,1366.25,18
1376956260,1366.47,82
1376956320,1366.49,10
1376956380,1366.75,32
1376956440,1366.98,44
1376956500,1367.46,80
1376956560,1367.35,44
1376956620,1367.06,48
1376956680,1367.18,32
1376956740,1367.31,24
1376956800,1367.24,38
1376956860,1367.14,50
1376956920,1367.16,14
1376956980,1367.44,28
1376957040,1367.70,46
1376957100,1367.93,72
1376957160,1367.73,36
1376957220,1367.58,40
1376957280,1367.81,16
1376957340,1367.65,36
1376957400,1368.11,80
1376957460,1368.25,62
1376957520,1368.24,86
1376957580,1368.48,126
1376957640,1368.51,40
1376957700,1368.60,154
1376957760,1368.35,60
1376957820,1368.09,64
1376957880,1368.18,24
1376957940,1368.38,22
1376958000,1368.31,40
1376958060,1368.41,212
1376958120,1368.87,126
1376958180,1368.96,134
1376958240,1368.68,116
1376958300,1368.71,68
1376958360,1369.33,148
1376958420,1369.15,124
1376958480,1369.28,256
1376958540,1369.20,56
1376958600,1369.09,62
1376958660,1369.22,78
1376958720,1369.01,102
1376958780,1368.79,114
1376958840,1368.89,28
1376958900,1368.71,22
1376958960,1368.22,78
1376959020,1368.23,174
1376959080,1368.10,104
1376959140,1367.67,124
1376959200,1368.08,46
1376959260,1368.00,56
1376959320,1367.83,40
1376959380,1367.72,116
1376959440,1367.77,14
1376959500,1367.71,104
1376959560,1367.66,136
1376959620,1367.31,44
1376959680,1367.24,76
1376959740,1367.32,24
1376959800,1367.57,46
1376959860,1367.86,62
1376959920,1367.86,44
1376959980,1368.49,162
1376960040,1368.15,108
1376960100,1368.36,80
1376960160,1368.50,60
1376960220,1368.32,130
1376960280,1367.97,86
1376960340,1367.82,120
1376960400,1367.62,300
1376960460,1367.82,166
1376960520,1367.02,208
1376960580,1366.41,290
1376960640,1366.11,232
1376960700,1366.65,270
1376960760,1366.31,106
1376960820,1366.36,206
1376960880,1365.72,200
1376960940,1365.57,180
1376961000,1365.84,168
1376961060,1364.81,230
1376961120,1364.32,338
1376961180,1364.33,284
1376961240,1364.37,228
1376961300,1365.11,178
1376961360,1365.82,268
1376961420,1365.05,208
1376961480,1365.13,130
1376961540,1366.22,184
1376961600,1366.46,306
1376961660,1367.00,178
1376961720,1367.01,130
1376961780,1366.78,108
1376961840,1366.71,60
1376961900,1366.60,112
1376961960,1366.91,86
1376962020,1368.52,196
1376962080,1368.82,224
1376962140,1368.46,314
1376962200,1368.71,160
1376962260,1369.27,292
1376962320,1369.01,204
1376962380,1368.58,122
1376962440,1368.59,216
1376962500,1368.74,142
1376962560,1368.25,180
1376962620,1367.78,168
1376962680,1368.06,130
1376962740,1367.69,164
1376962800,1367.54,130
1376962860,1367.40,144
1376962920,1367.99,206
1376962980,1367.90,116
1376963040,1367.79,166
1376963100,1367.49,180
1376963160,1367.79,98
1376963220,1368.10,116
1376963280,1367.97,122
1376963340,1367.91,100
1376963400,1368.28,198
1376963460,1368.12,218
